Filas,Áreas Transaccionales Filas No.,Áreas Transaccionales Filas Descripción,Codigo Transacción Filas,Transacción filas,Código Productos (CUP),Productos (CUP),Código CPC Grupos,CPC Grupos,Código Productos Compactos,Productos Compactos,Código Bioeconomía Productos,Bioeconomía Productos,Código CUPc,CUPc,Código BCT,BCT
mp_f137,ATF01,Producción,P1,Producción,137,Servicios de hotelería,6,"Servicios comerciales de distribución; alojamiento, servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua",7,Otros servicios,3,No bioeconomía,2,No culturales,1,BCT
mp_f138,ATF01,Producción,P1,Producción,138,Servicios de restaurantes,6,"Servicios comerciales de distribución; alojamiento, servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua",7,Otros servicios,2,Bioeconomía extendida,2,No culturales,1,BCT
mp_f139,ATF01,Producción,P1,Producción,139,Servicios de transporte por ferrocarril,6,"Servicios comerciales de distribución; alojamiento, servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua",7,Otros servicios,3,No bioeconomía,2,No culturales,1,BCT
mp_f140,ATF01,Producción,P1,Producción,140,Servicios de transporte caminero de pasajeros,6,"Servicios comerciales de distribución; alojamiento, servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua",7,Otros servicios,3,No bioeconomía,2,No culturales,1,BCT
mp_f141,ATF01,Producción,P1,Producción,141,Servicios de transporte caminero de carga,6,"Servicios comerciales de distribución; alojamiento, servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua",7,Otros servicios,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f142,ATF01,Producción,P1,Producción,142,Transporte por tuberías (gasoductos y oleoductos),6,"Servicios comerciales de distribución; alojamiento, servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua",7,Otros servicios,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f143,ATF01,Producción,P1,Producción,143,Servicios de transporte marítimo,6,"Servicios comerciales de distribución; alojamiento, servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua",7,Otros servicios,3,No bioeconomía,2,No culturales,1,BCT
mp_f144,ATF01,Producción,P1,Producción,144,Servicios de arriendo de embarcaciones,6,"Servicios comerciales de distribución; alojamiento, servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua",7,Otros servicios,3,No bioeconomía,2,No culturales,1,BCT
mp_f145,ATF01,Producción,P1,Producción,145,Servicios de transporte aéreo de pasajeros,6,"Servicios comerciales de distribución; alojamiento, servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua",7,Otros servicios,3,No bioeconomía,2,No culturales,1,BCT
mp_f146,ATF01,Producción,P1,Producción,146,Servicios de transporte aéreo de carga y arriendo de naves,6,"Servicios comerciales de distribución; alojamiento, servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua",7,Otros servicios,3,No bioeconomía,2,No culturales,1,BCT
mp_f147,ATF01,Producción,P1,Producción,147,Almacenamiento y depósito,6,"Servicios comerciales de distribución; alojamiento, servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua",7,Otros servicios,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f148,ATF01,Producción,P1,Producción,148,"Servicios de carreteras, estacionamientos y estaciones de autobuses",6,"Servicios comerciales de distribución; alojamiento, servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua",7,Otros servicios,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f149,ATF01,Producción,P1,Producción,149,Servicios de puertos y aeropuertos,6,"Servicios comerciales de distribución; alojamiento, servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua",7,Otros servicios,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f150,ATF01,Producción,P1,Producción,150,Otros conexos de transporte,6,"Servicios comerciales de distribución; alojamiento, servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua",7,Otros servicios,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f151,ATF01,Producción,P1,Producción,151,Servicio de correo y mensajería,6,"Servicios comerciales de distribución; alojamiento, servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua",7,Otros servicios,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f152,ATF01,Producción,P1,Producción,152,Servicios de telefonía móvil,6,"Servicios comerciales de distribución; alojamiento, servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua",7,Otros servicios,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f153,ATF01,Producción,P1,Producción,153,Servicios de telefonía fija y de larga distancia,6,"Servicios comerciales de distribución; alojamiento, servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua",7,Otros servicios,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f154,ATF01,Producción,P1,Producción,154,Otros servicios de telefonía,6,"Servicios comerciales de distribución; alojamiento, servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua",7,Otros servicios,3,No bioeconomía,1,Culturales,2,Resto productos
mp_f155,ATF01,Producción,P1,Producción,155,Servicios informáticos,6,"Servicios comerciales de distribución; alojamiento, servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua",7,Otros servicios,3,No bioeconomía,1,Culturales,2,Resto productos
mp_f156,ATF01,Producción,P1,Producción,156,"Servicios de edición, producción y difusión",6,"Servicios comerciales de distribución; alojamiento, servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua",7,Otros servicios,3,No bioeconomía,1,Culturales,2,Resto productos
mp_f157,ATF01,Producción,P1,Producción,157,Servicios de intermediación financiera,7,Servicios financieros y servicios conexos; servicios inmobiliarios; y servicios de alquiler y arrendamiento,7,Otros servicios,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f158,ATF01,Producción,P1,Producción,158,Servicios de intermediación financiera medidos indirectamente (SIFMI),7,Servicios financieros y servicios conexos; servicios inmobiliarios; y servicios de alquiler y arrendamiento,7,Otros servicios,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f159,ATF01,Producción,P1,Producción,159,Servicios de seguros de vida,7,Servicios financieros y servicios conexos; servicios inmobiliarios; y servicios de alquiler y arrendamiento,7,Otros servicios,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f160,ATF01,Producción,P1,Producción,160,Servicios de seguros generales,7,Servicios financieros y servicios conexos; servicios inmobiliarios; y servicios de alquiler y arrendamiento,7,Otros servicios,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f161,ATF01,Producción,P1,Producción,161,Servicios auxiliares de intermediación financiera,7,Servicios financieros y servicios conexos; servicios inmobiliarios; y servicios de alquiler y arrendamiento,7,Otros servicios,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f162,ATF01,Producción,P1,Producción,162,Servicios inmobiliarios,7,Servicios financieros y servicios conexos; servicios inmobiliarios; y servicios de alquiler y arrendamiento,7,Otros servicios,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f163,ATF01,Producción,P1,Producción,163,Servicios de vivienda,7,Servicios financieros y servicios conexos; servicios inmobiliarios; y servicios de alquiler y arrendamiento,7,Otros servicios,3,No bioeconomía,2,No culturales,1,BCT
mp_f164,ATF01,Producción,P1,Producción,164,Servicios jurídicos y contables,8,Servicios prestados a las empresas y servicios de producción,7,Otros servicios,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f165,ATF01,Producción,P1,Producción,165,Servicios de arquitectura e ingeniería,8,Servicios prestados a las empresas y servicios de producción,7,Otros servicios,3,No bioeconomía,1,Culturales,2,Resto productos
mp_f166,ATF01,Producción,P1,Producción,166,Servicios de publicidad e investigación de mercados,8,Servicios prestados a las empresas y servicios de producción,7,Otros servicios,3,No bioeconomía,1,Culturales,2,Resto productos
mp_f167,ATF01,Producción,P1,Producción,167,Investigación y desarrollo,8,Servicios prestados a las empresas y servicios de producción,7,Otros servicios,2,Bioeconomía extendida,1,Culturales,2,Resto productos
mp_f168,ATF01,Producción,P1,Producción,168,"Otros servicios profesionales, técnico y de negocios",8,Servicios prestados a las empresas y servicios de producción,7,Otros servicios,3,No bioeconomía,1,Culturales,2,Resto productos
mp_f169,ATF01,Producción,P1,Producción,169,Servicios de alquiler sin operarios,8,Servicios prestados a las empresas y servicios de producción,7,Otros servicios,3,No bioeconomía,1,Culturales,1,BCT
mp_f170,ATF01,Producción,P1,Producción,170,"Servicios de suministro de personal, limpieza, seguridad y otros de apoyo",8,Servicios prestados a las empresas y servicios de producción,7,Otros servicios,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f171,ATF01,Producción,P1,Producción,171,Servicios de administración pública,9,"Servicios para la comunidad, sociales y personales",7,Otros servicios,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f172,ATF01,Producción,P1,Producción,172,Servicios de educación pública,9,"Servicios para la comunidad, sociales y personales",7,Otros servicios,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f173,ATF01,Producción,P1,Producción,173,Servicios de educación privada,9,"Servicios para la comunidad, sociales y personales",7,Otros servicios,3,No bioeconomía,1,Culturales,2,Resto productos
mp_f174,ATF01,Producción,P1,Producción,174,Servicios de salud pública,9,"Servicios para la comunidad, sociales y personales",7,Otros servicios,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f175,ATF01,Producción,P1,Producción,175,Servicios de salud privada,9,"Servicios para la comunidad, sociales y personales",7,Otros servicios,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f176,ATF01,Producción,P1,Producción,176,Servicios sociales y de asociaciones,9,"Servicios para la comunidad, sociales y personales",7,Otros servicios,3,No bioeconomía,1,Culturales,2,Resto productos
mp_f177,ATF01,Producción,P1,Producción,177,Servicios de esparcimiento,9,"Servicios para la comunidad, sociales y personales",7,Otros servicios,3,No bioeconomía,1,Culturales,1,BCT
mp_f178,ATF01,Producción,P1,Producción,178,Reparación de artículos domésticos,9,"Servicios para la comunidad, sociales y personales",7,Otros servicios,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f179,ATF01,Producción,P1,Producción,179,Servicio doméstico,9,"Servicios para la comunidad, sociales y personales",7,Otros servicios,3,No bioeconomía,2,No culturales,2,Resto productos
mp_f180,ATF01,Producción,P1,Producción,180,Otros servicios personales,9,"Servicios para la comunidad, sociales y personales",7,Otros servicios,3,No bioeconomía,2,No culturales,1,BCT
mp_f181,ATF01,Producción,P1,Producción,181,Otros bienes y servicios,9,"Servicios para la comunidad, sociales y personales",7,Otros servicios,3,No bioeconomía,2,No culturales,1,BCT
ot_f001,ATF01,Producción,P1,Producción,1,Trigo,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f002,ATF01,Producción,P1,Producción,2,Maíz,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f003,ATF01,Producción,P1,Producción,3,Otros cereales,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f004,ATF01,Producción,P1,Producción,4,Tubérculos y legumbres,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f005,ATF01,Producción,P1,Producción,5,Forrajeras y otros cultivos de uso industrial,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f006,ATF01,Producción,P1,Producción,6,Hortalizas y setas,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f007,ATF01,Producción,P1,Producción,7,Uva vinífera y pisquera,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f008,ATF01,Producción,P1,Producción,8,Uva de mesa,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f009,ATF01,Producción,P1,Producción,9,Manzanas,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f010,ATF01,Producción,P1,Producción,10,Duraznos y otros carozos,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f011,ATF01,Producción,P1,Producción,11,Paltas,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f012,ATF01,Producción,P1,Producción,12,Kiwis y otras frutas tropicales,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f013,ATF01,Producción,P1,Producción,13,Arándanos y otras bayas,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f014,ATF01,Producción,P1,Producción,14,Otras Frutas,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f015,ATF01,Producción,P1,Producción,15,Ganado bovino,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f016,ATF01,Producción,P1,Producción,16,Cerdos,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f017,ATF01,Producción,P1,Producción,17,Aves de corral,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f018,ATF01,Producción,P1,Producción,18,Leche sin procesar,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f019,ATF01,Producción,P1,Producción,19,Huevos,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f020,ATF01,Producción,P1,Producción,20,Otros animales y productos pecuarios,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f021,ATF01,Producción,P1,Producción,21,"Servicios de apoyo a la agricultura, ganadería y silvicultura",0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f022,ATF01,Producción,P1,Producción,22,Coníferas,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f023,ATF01,Producción,P1,Producción,23,Eucaliptus,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f024,ATF01,Producción,P1,Producción,24,Leña y otros productos silvícolas,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f025,ATF01,Producción,P1,Producción,25,Salmones y truchas de cultivo,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f026,ATF01,Producción,P1,Producción,26,"Otros pescados, mariscos y algas",0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f027,ATF01,Producción,P1,Producción,27,Carbón,1,"Minerales; electricidad, gas y agua",2,Minería,3,No bioeconomía,2,No culturales,2,Resto productos
ot_f028,ATF01,Producción,P1,Producción,28,Petróleo crudo,1,"Minerales; electricidad, gas y agua",2,Minería,3,No bioeconomía,2,No culturales,2,Resto productos
ot_f029,ATF01,Producción,P1,Producción,29,Gas natural,1,"Minerales; electricidad, gas y agua",2,Minería,3,No bioeconomía,2,No culturales,2,Resto productos
ot_f030,ATF01,Producción,P1,Producción,30,Cobre,1,"Minerales; electricidad, gas y agua",2,Minería,3,No bioeconomía,2,No culturales,2,Resto productos
ot_f031,ATF01,Producción,P1,Producción,31,Minerales de molibdeno y sus concentrados,1,"Minerales; electricidad, gas y agua",2,Minería,3,No bioeconomía,2,No culturales,2,Resto productos
ot_f032,ATF01,Producción,P1,Producción,32,Hierro,1,"Minerales; electricidad, gas y agua",2,Minería,3,No bioeconomía,2,No culturales,2,Resto productos
ot_f033,ATF01,Producción,P1,Producción,33,Oro,1,"Minerales; electricidad, gas y agua",2,Minería,3,No bioeconomía,2,No culturales,2,Resto productos
ot_f034,ATF01,Producción,P1,Producción,34,Plata y otros metalíferos no ferrosos,1,"Minerales; electricidad, gas y agua",2,Minería,3,No bioeconomía,2,No culturales,2,Resto productos
ot_f035,ATF01,Producción,P1,Producción,35,Minerales no metálicos,1,"Minerales; electricidad, gas y agua",2,Minería,3,No bioeconomía,2,No culturales,2,Resto productos
ot_f036,ATF01,Producción,P1,Producción,36,Servicios de exploración minera,1,"Minerales; electricidad, gas y agua",2,Minería,3,No bioeconomía,2,No culturales,2,Resto productos
ot_f037,ATF01,Producción,P1,Producción,37,Carne de bovino,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f038,ATF01,Producción,P1,Producción,38,Carne de porcino,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f039,ATF01,Producción,P1,Producción,39,Carne de ave,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f040,ATF01,Producción,P1,Producción,40,Cecinas y otras carnes,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f041,ATF01,Producción,P1,Producción,41,Harina de pescado,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f042,ATF01,Producción,P1,Producción,42,Aceite de pescado,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f043,ATF01,Producción,P1,Producción,43,Salmon y trucha refrigerados o congelados  ,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f044,ATF01,Producción,P1,Producción,44,Otros pescados refrigerados o congelados  ,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f045,ATF01,Producción,P1,Producción,45,Conservas de pescados y mariscos,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f046,ATF01,Producción,P1,Producción,46,Conservas de frutas y vegetales,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f047,ATF01,Producción,P1,Producción,47,Otros aceites y grasas,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f048,ATF01,Producción,P1,Producción,48,Leche elaborada,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f049,ATF01,Producción,P1,Producción,49,Otros productos lácteos,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f050,ATF01,Producción,P1,Producción,50,Harina y subproductos de trigo,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f051,ATF01,Producción,P1,Producción,51,Arroz y otros productos de molinería,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f052,ATF01,Producción,P1,Producción,52,Alimento para peces,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f053,ATF01,Producción,P1,Producción,53,Alimento para aves,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f054,ATF01,Producción,P1,Producción,54,Otros alimentos para animales,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f055,ATF01,Producción,P1,Producción,55,Pan y otros productos de panadería,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f056,ATF01,Producción,P1,Producción,56,Fideos y pastas,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f057,ATF01,Producción,P1,Producción,57,Azúcar,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f058,ATF01,Producción,P1,Producción,58,Otros productos alimenticios,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f059,ATF01,Producción,P1,Producción,59,Piscos y otros licores,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f060,ATF01,Producción,P1,Producción,60,Vinos,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f061,ATF01,Producción,P1,Producción,61,Cervezas,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f062,ATF01,Producción,P1,Producción,62,Bebidas no alcohólicas,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f063,ATF01,Producción,P1,Producción,63,Productos de tabaco,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f064,ATF01,Producción,P1,Producción,64,Productos textiles,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,2,Bioeconomía extendida,2,No culturales,2,Resto productos
ot_f065,ATF01,Producción,P1,Producción,65,Prendas de vestir,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,2,Bioeconomía extendida,2,No culturales,2,Resto productos
ot_f066,ATF01,Producción,P1,Producción,66,Cueros y productos de cuero,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,1,Bioeconomía,2,No culturales,2,Resto productos
ot_f067,ATF01,Producción,P1,Producción,67,Calzado,2,"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero",3,Manufacturas,2,Bioeconomía extendida,2,No culturales,2,Resto productos
ot_f068,ATF01,Producción,P1,Producción,68,"Madera aserrada, cepillada y astillada",3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,2,Bioeconomía extendida,2,No culturales,2,Resto productos
ot_f069,ATF01,Producción,P1,Producción,69,Tableros y madera prensada,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,2,Bioeconomía extendida,2,No culturales,2,Resto productos
ot_f070,ATF01,Producción,P1,Producción,70,Otros productos de madera,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,2,Bioeconomía extendida,2,No culturales,2,Resto productos
ot_f071,ATF01,Producción,P1,Producción,71,Celulosa,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,2,Bioeconomía extendida,2,No culturales,2,Resto productos
ot_f072,ATF01,Producción,P1,Producción,72,Papel periódico,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,2,Bioeconomía extendida,2,No culturales,2,Resto productos
ot_f073,ATF01,Producción,P1,Producción,73,Envases de papel y cartón,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,2,Bioeconomía extendida,2,No culturales,2,Resto productos
ot_f074,ATF01,Producción,P1,Producción,74,Productos tissue,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,2,Bioeconomía extendida,2,No culturales,2,Resto productos
ot_f075,ATF01,Producción,P1,Producción,75,Otros papeles y cartones,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,2,Bioeconomía extendida,2,No culturales,2,Resto productos
ot_f076,ATF01,Producción,P1,Producción,76,"Libros, diarios, revistas y otros impresos",3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,1,Culturales,2,Resto productos
ot_f077,ATF01,Producción,P1,Producción,77,Diésel,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
ot_f078,ATF01,Producción,P1,Producción,78,Gasolinas,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
ot_f079,ATF01,Producción,P1,Producción,79,Kerosene,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
ot_f080,ATF01,Producción,P1,Producción,80,Aceites combustibles,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
ot_f081,ATF01,Producción,P1,Producción,81,Gas licuado y otros combustibles,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
ot_f082,ATF01,Producción,P1,Producción,82,Abonos y plaguicidas,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,2,Bioeconomía extendida,2,No culturales,2,Resto productos
ot_f083,ATF01,Producción,P1,Producción,83,Oxido de molibdeno,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
ot_f084,ATF01,Producción,P1,Producción,84,Otros productos químicos básicos,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
ot_f085,ATF01,Producción,P1,Producción,85,Pinturas y barnices,3,"Otros bienes transportables, excepto productos metálicos, maquinaria y equipo",3,Manufacturas,3,No bioeconomía,2,No culturales,2,Resto productos
